"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio_vecinos","distancia_promedio","monto_promedio","ganancia"
15,133027,299243,25451,21735,278352,0.14018278273303,0.141273630636122,0.152496514303236,0.158042712224298,0.169777604079742,57170.9589380953,0.152354648795286,40854.8785714286,16316.0803666667
60,405,131708,2732,85794,16262,0.0333473977065146,0.116195397586376,0.128892746993683,0.128893428437398,0.129230398911061,59585.8903238095,0.107311873927007,8879.5,50706.3903238095
65,3283,5760,21741,5773,271680,0.00384694196421098,0.121898422484784,0.145588980329521,0.146409666154676,0.147422107966151,42392.4323737374,0.113033223779869,9578.53,32813.9023737374
87,399,14194,19554,20159,51545,0.0952754269592898,0.106798395715789,0.135142045873786,0.145617635981653,0.14718065546905,86646.9393305196,0.126002831999914,11805.92,74841.0193305196
124,79249,18826,21803,188,22214,0.0619772441654551,0.0939985287665148,0.102429687400705,0.119328261799569,0.119406828280062,74654.7343650794,0.0994281100824612,61919.4392307692,12735.2951343102
131,2736,27121,20159,292,22802,0.00016784932138755,0.0354652744755111,0.0477307192100347,0.0540912273505827,0.0613822667936087,64113.1720701427,0.039767467430225,42625.995,21487.1770701427
135,394,14392,18341,7013,20830,0.0854980508302019,0.0977508387773844,0.105027043948155,0.105245025128238,0.106975508552944,39419.5307692308,0.100099293447385,36456.048,2963.48276923075
142,71164,277285,234572,21093,5956,0.0697724497489651,0.0701605896461406,0.0753224182886319,0.0844436815549772,0.0929948191617002,37734.5453653846,0.078538791680083,26464.95,11269.5953653846
187,85645,448,21495,58249,84856,0.118917204481884,0.121409164150663,0.123565704541498,0.123585905046277,0.127362119886746,49157.7029761905,0.122968019621414,43279.82,5877.88297619053
197,249124,9313,21776,25811,294067,0.0680205432364113,0.0737773625963662,0.0756007545698373,0.0793250528299429,0.0836604223009208,41919.8327809524,0.0760768271066957,29736.908,12182.9247809524
200,192,214795,29165,19003,803,0.118691181314976,0.132180855624557,0.136664019959705,0.137548739148342,0.139714639910047,91494.8175030304,0.132959887191525,61355.7,30139.1175030304
227,131708,2669,1413,405,265,0.046977132225801,0.121394217599929,0.124075084672504,0.130309360301422,0.132535046689261,26186.5318,0.111058168297783,12977.1483333333,13209.3834666667
230,5357,265,110,21723,62,0.0886702671357336,0.0923639376320243,0.0943941208586958,0.0963807854182476,0.101227330806584,41560.1459904762,0.0946072883702571,23116.762,18443.3839904762
234,703,15841,394,21762,21765,0.0836422438446136,0.0956262802464489,0.102146459201593,0.109330039196768,0.109528611330514,70581.5472564103,0.100054726763987,27089.2325,43492.3147564103
247,16330,59171,295282,571,5731,0.0762831447178784,0.0793796712492634,0.0845516989939475,0.0909010329381484,0.090962289107062,40527.5533333333,0.0844155674012599,27202.5,13325.0533333333
251,713,14497,708,228,830,0.10640001870248,0.163105812700786,0.177941896480122,0.185493307766511,0.233046967096601,57752.0222666667,0.1731976005493,25931.2328571429,31820.7894095238
262,261,185326,53,3461,52644,0.121794681214046,0.128216206267964,0.128808841344961,0.14624258435045,0.153945990696873,63157.1276383117,0.135801660774859,40400.8771428571,22756.2504954546
291,20128,609,79250,20839,20707,0.00744637295768611,0.06147165217004,0.0867833119353926,0.089813849013514,0.0962221277560169,70664.8735833333,0.0683474627665299,21672.5,48992.3735833333
297,185326,53,3461,261,49110,0.147819281733382,0.149477572237464,0.19254414287279,0.199037267332269,0.212785227369048,58385.1384954545,0.180332698308991,16490.7225,41894.4159954545
342,15817,25840,150994,19640,16438,0.00176477707780276,0.0577277512055391,0.0717701051618554,0.0778741966993855,0.0873226198970607,83878.5181059164,0.0592918900083287,19136.375,64742.1431059164
346,18338,3299,19028,22529,380,0.185074391482359,0.185910246160158,0.222998886726412,0.223157715980234,0.234196589214525,31656.2306388889,0.210267565912738,14744.9,16911.3306388889
370,270417,19574,23638,19557,292006,0.0469702068248878,0.0576845668085758,0.064235632315475,0.0705520152059956,0.0773966789342621,55114.2862222222,0.0633678200178393,21638.605,33475.6812222222
397,51545,4981,17313,19554,14194,0.139099466714943,0.144499494931343,0.151057319371896,0.151252579761513,0.15648021759463,65992.7668214286,0.148477815674865,61315.77125,4676.9955714286
398,399,250392,22923,14194,267,0.0935687286030701,0.102793506637769,0.102827333957627,0.106864452195367,0.107965983641812,72919.3554502165,0.102804001007129,60862.462,12056.8934502165
413,2501,19365,379,385,126,0.0554991240151827,0.0742627391472471,0.0762260431622363,0.0838973586498081,0.08448096961582,57094.0757766234,0.0748732469180588,11877.88,45216.1957766234
529,16159,37744,15666,56428,18324,0.107599049237811,0.11208264539195,0.120606418528728,0.125403418164855,0.128577146555374,62635.1015988456,0.118853735575744,14288.5533333333,48346.5482655123
572,207629,21119,20303,20258,8743,0.0604286354660782,0.0690833639022813,0.0798927717814686,0.0953770701964128,0.0972081662830535,61310.787,0.0803980015258589,24968.96,36341.827
610,17854,18694,105374,217447,3663,0.119197515550769,0.121145855624067,0.126994639274352,0.13704403971855,0.139169622488091,50632.5154787879,0.128710334531166,41227.83,9404.68547878788
697,24713,16572,15708,294122,145177,0.0662898736940194,0.106436554616279,0.11023571389127,0.111357197003273,0.117773016623403,49674.1163333333,0.102418471165649,49025.736,648.380333333342
698,323,66565,16983,63432,20839,0.102517815461031,0.128133248896162,0.132891855652108,0.132903805348157,0.135459522016949,59307.0288809524,0.126381249474881,11131.32,48175.7088809524
737,127025,14624,14392,402,16974,0.00008937350454133,0.0632506131934766,0.0777832186472711,0.0809799801115517,0.0848207315984962,81661.228987013,0.0613847834110674,36289.1688888889,45372.0600981241
787,57769,30743,9568,652,296510,0.0304797246328395,0.075577258111025,0.0807107391599328,0.0920678856647233,0.0955596332449605,55172.4332258242,0.0748790481626962,43203.47,11968.9632258242
821,264835,463,726,479,18826,0.116651009699376,0.128227652470158,0.133878251686379,0.134773501962122,0.142409476863438,38092.7047353535,0.131187978536295,31812.834,6279.87073535355
823,442,924,447,19554,51545,0.160713196024306,0.175130221220065,0.187113429057167,0.192345244046405,0.192439797961172,42393.7380136364,0.181548377661823,35864.3466666667,6529.39134696966
853,3907,185180,11314,23153,174,0.089900226587788,0.200931643994787,0.220295796891067,0.236105587492535,0.239841629563096,38704.5525,0.197414976905855,31240,7464.55250000001
876,32390,18348,17584,16980,518,0.0674338875522509,0.102557761976419,0.111279580126845,0.125554430344764,0.132745538257835,51500.9372957394,0.107914239651623,49597.1,1903.83729573936
910,20314,18836,18648,18999,100271,0.0524525737302105,0.0528801457913733,0.0576427839944639,0.0593124858898269,0.0599101566240957,38205.3679920635,0.0564396292059941,6534,31671.3679920635
928,15821,111225,17961,245,16327,0.136359678851299,0.13857293070909,0.141285967784075,0.144740552298151,0.154981700559311,24580.9294666667,0.143188166040385,24451.085,129.844466666662
929,259360,21475,21736,18351,16839,0.190437307999694,0.201041948158851,0.202405227241892,0.210354351560264,0.21315820168827,52799.4959047619,0.203479407329794,6968.6,45830.8959047619
1094,163744,18677,21059,20589,20846,0.116085168355139,0.118015367230475,0.122524232023056,0.131976256811625,0.151004349283501,41169.4201372549,0.127921074740759,32639.3871428571,8530.03299439781
1213,299243,23997,503,278352,44268,0.0991317388607184,0.0998274261445707,0.101707816970246,0.102991491527726,0.10926763306469,49318.4118076923,0.10258522131359,29028.97,20289.4418076923
2147,79250,20128,88202,20839,609,0.0750608433247532,0.100723318888186,0.102548136889941,0.103377034994003,0.120268556085483,64438.7766309524,0.100395578036473,24032.7566666667,40406.0199642857
2458,22234,213614,22250,19640,15317,0.0946033660551205,0.122432257168819,0.133899939259404,0.136337244692727,0.138502828496092,73681.2839333334,0.125155127134432,47008.425,26672.8589333334
2476,735,2821,623,16993,15675,0.0969844638096238,0.0986391419180459,0.106577730679884,0.118697544187369,0.124566178470636,64695.5249419192,0.109093011813112,40213.762,24481.7629419192
