"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio_vecinos","distancia_promedio","monto_promedio","ganancia"
15,133027,299243,25451,21735,278352,0.138308733196416,0.1405224324491,0.150795733239629,0.156229682505791,0.167932355968472,57170.9589380953,0.150757787471882,40854.8785714286,16316.0803666667
60,405,131708,85794,2732,16262,0.0329981725501468,0.115778061615303,0.127703085115268,0.12783783260758,0.13037507100636,59585.8903238095,0.106938444578932,8879.5,50706.3903238095
65,3283,5760,271680,21741,5773,0.00496874523566733,0.119330901217348,0.145865487639743,0.146501153269322,0.147329897910534,42392.4323737374,0.112799237054523,9578.53,32813.9023737374
87,399,14194,19554,20159,51545,0.0945065270000382,0.105780337594116,0.133908911329308,0.14428795624728,0.145701099332762,86646.9393305196,0.124836966300701,11805.92,74841.0193305196
124,79249,18826,21803,2734,188,0.0592976205976306,0.0931669130103564,0.101865097162135,0.115638452988724,0.1181298622141,87493.0856837606,0.0976195891945892,61919.4392307692,25573.6464529914
131,2736,27121,20159,292,22802,0.00441719135110232,0.0364208809784617,0.0498660512091628,0.055232254292488,0.0633508572423636,64113.1720701427,0.0418574470147157,42625.995,21487.1770701427
135,394,14392,18341,703,7013,0.0848799583893466,0.0966724051124213,0.10502375321157,0.105312918086112,0.10574066562505,44010.3227692308,0.0995259400849,36456.048,7554.27476923075
142,277285,71164,234572,21093,5956,0.0694160804061504,0.0713801322943383,0.0745364150568214,0.083637965480809,0.0924802439267984,37734.5453653846,0.0782901674329835,26464.95,11269.5953653846
187,85645,448,21495,58249,84856,0.117671692374921,0.120175403796402,0.121945640858002,0.122216853596954,0.125365919191809,49157.7029761905,0.121475101963618,43279.82,5877.88297619053
197,249124,21776,9313,25811,294067,0.0677926140197509,0.0741014506054036,0.0741686063422511,0.0785046490730827,0.0808452138508241,41919.8327809524,0.0750825067782625,29736.908,12182.9247809524
200,192,214795,29165,19003,803,0.117561375033801,0.130433871924415,0.133631627936439,0.135567677347878,0.138169173883445,91494.8175030304,0.131072745225196,61355.7,30139.1175030304
227,131708,2669,1413,405,265,0.0474149433635311,0.119708040846626,0.122595597689496,0.12927164149248,0.131201739764348,26186.5318,0.110038392631296,12977.1483333333,13209.3834666667
230,5357,265,110,21723,62,0.0863722632305122,0.0914571572257538,0.0925775390814394,0.0966832450780174,0.100307442813118,41560.1459904762,0.0934795294857682,23116.762,18443.3839904762
234,703,15841,394,21762,21765,0.0829655657769581,0.0967485215645678,0.101065116630699,0.106824880180416,0.106997263766978,70581.5472564103,0.0989202695839238,27089.2325,43492.3147564103
247,16330,59171,295282,5731,571,0.0754981951835021,0.0785442283688871,0.0836788342438963,0.0868059606270723,0.0902141446689316,40527.5533333333,0.0829482726184579,27202.5,13325.0533333333
251,713,14497,708,228,830,0.105280262152658,0.161353907319136,0.176119397472876,0.183666866230686,0.230785827005989,57752.0222666667,0.171441252036269,25931.2328571429,31820.7894095238
262,261,185326,53,3461,52644,0.120715966397116,0.127539082230378,0.127546420962196,0.143734181665529,0.151987681103222,63157.1276383117,0.134304666471688,40400.8771428571,22756.2504954546
291,20128,609,79250,20839,20707,0.00700838239339951,0.060624260020452,0.0872887300172153,0.0888036539390262,0.0954789380665599,70664.8735833333,0.0678407928873306,21672.5,48992.3735833333
297,53,185326,3461,261,49110,0.148094922829385,0.148621889431748,0.191144408943858,0.197160050452632,0.210541337672422,58385.1384954545,0.179112521866009,16490.7225,41894.4159954545
342,15817,25840,150994,19640,16438,0.00600578289258221,0.0571446726218983,0.0710011227078772,0.0778589319041996,0.0863323853495421,83878.5181059164,0.0596685790952199,19136.375,64742.1431059164
346,18338,3299,19028,22529,380,0.182779798792935,0.183575082255638,0.219639265146892,0.219785264970863,0.23175714467736,31656.2306388889,0.207507311168738,14744.9,16911.3306388889
370,270417,19574,23638,19557,292006,0.0465262332623512,0.057103162320448,0.0633557376217578,0.0698084360823117,0.0765781486536363,55114.2862222222,0.062674343588101,21638.605,33475.6812222222
397,51545,4981,17313,19554,14194,0.137596576899262,0.14307036541695,0.149453798381925,0.149857081883526,0.155454786452319,65992.7668214286,0.147086521806796,61315.77125,4676.9955714286
398,399,250392,22923,14194,267,0.0924098436382838,0.101663204687405,0.101696812856766,0.105582551243852,0.106993283838688,72919.3554502165,0.101669139252999,60862.462,12056.8934502165
413,2501,19365,379,385,126,0.0547117201766572,0.073709113388486,0.0751994135491861,0.0830284733493819,0.0837280426582793,57094.0757766234,0.0740753526243981,11877.88,45216.1957766234
529,16159,37744,15666,56428,18324,0.109016566858679,0.111039984057098,0.122826478203422,0.125870952141204,0.128991152426429,62635.1015988456,0.119549026737366,14288.5533333333,48346.5482655123
572,207629,21119,20303,20258,8743,0.05978344820732,0.0667346446903377,0.0794164004436564,0.0945686246189014,0.0961768302089371,61310.787,0.0793359896338305,24968.96,36341.827
610,17854,18694,105374,217447,3663,0.118157400700725,0.119972633871794,0.126020897921706,0.136352731314336,0.138074711838256,50632.5154787879,0.127715675129363,41227.83,9404.68547878788
697,24713,16572,15708,294122,145177,0.0656937290718564,0.106172316396176,0.111499480765705,0.113177675174533,0.117252002764089,49674.1163333333,0.102759040834472,49025.736,648.380333333342
698,323,66565,63432,16983,20839,0.101189518382341,0.123850314369304,0.129049903531661,0.130848678489768,0.134092475031004,59307.0288809524,0.123806177960816,11131.32,48175.7088809524
737,127025,14624,14392,402,16974,0.00466683017183996,0.0625799644672567,0.0769678124097768,0.0803088169414644,0.0840676226820157,81661.228987013,0.0617182093344707,36289.1688888889,45372.0600981241
787,57769,30743,9568,652,296510,0.0268799580678331,0.0747221970646021,0.0807147336173228,0.0908705259915298,0.0941392272092404,55172.4332258242,0.0734653283901056,43203.47,11968.9632258242
821,264835,463,726,479,18826,0.11545447361007,0.126972020797273,0.133084799533898,0.133335422015175,0.140944750751417,38092.7047353535,0.129958293341567,31812.834,6279.87073535355
823,442,924,447,51545,19554,0.159082679780038,0.174991688566374,0.185178541487359,0.190429266381973,0.19045662866272,42393.7380136364,0.180027760975693,35864.3466666667,6529.39134696966
853,3907,185180,11314,23153,174,0.0894671696645796,0.19912115482992,0.218099063249368,0.233675159050973,0.237403947286491,38704.5525,0.195553298816266,31240,7464.55250000001
876,32390,18348,17584,16980,518,0.0678159016135587,0.101589430114814,0.110848192804857,0.124212657307197,0.131082747040246,51500.9372957394,0.107109785776135,49597.1,1903.83729573936
910,18836,20314,18999,100271,18648,0.0494180992063817,0.049755107552297,0.0556337214709535,0.0592444309826696,0.0608880465443986,38205.3679920635,0.0549878811513401,6534,31671.3679920635
928,15821,111225,17961,245,16327,0.136694711100909,0.137166487235369,0.139888650531979,0.145586353579378,0.156391815956942,24580.9294666667,0.143145603680915,24451.085,129.844466666662
929,259360,21475,21736,18351,16839,0.190461424831884,0.199216804963048,0.201896211766346,0.207417424035809,0.210841306162333,52799.4959047619,0.201966634351884,6968.6,45830.8959047619
1094,163744,18677,21059,20589,20846,0.114853406563445,0.1174334625859,0.122687531479228,0.130136563321386,0.148677842604381,41169.4201372549,0.126757761310868,32639.3871428571,8530.03299439781
1213,299243,23997,278352,503,44268,0.0981691113765835,0.0987854196686327,0.101943973847488,0.102465695705826,0.108187820752035,49318.4118076923,0.101910404270113,29028.97,20289.4418076923
