"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
264254,24230,57742,33698,198927,21064,0.0782427051482886,0.0858372323356193,0.0860315540945623,0.0866957626368259,0.0885724020590429
6999,23428,19557,471,19588,47816,0.0488966895610674,0.0518199831435404,0.0648278547006851,0.0655555214010058,0.0684479215388109
48607,238757,46057,19310,2623,19556,0.0741286851253556,0.0820985415883229,0.0908618099715221,0.102093458885667,0.105759261116339
247,16330,59171,295282,571,5731,0.0762831447178784,0.0793796712492634,0.0845516989939475,0.0909010329381484,0.090962289107062
63457,29165,148,5725,20642,301864,0.0778587556703474,0.117707399927887,0.122544313287551,0.123901142389259,0.130966982623187
202388,17793,18013,202359,32855,18825,0.118065309675214,0.119142062793036,0.129630483118094,0.133452314473791,0.136829716157711
97239,21778,789,299144,18338,15519,0.00164091515447618,0.0974949460683663,0.115877777242512,0.132822438342415,0.134934217603877
289,32624,19028,22529,19003,380,0.157418005551163,0.199628016299549,0.200108639092977,0.209634950157627,0.211226948910537
698,323,66565,16983,63432,20839,0.102517815461031,0.128133248896162,0.132891855652108,0.132903805348157,0.135459522016949
262848,2955,278510,14288,10317,24023,0.0923252883142475,0.14940796350119,0.14951138338536,0.161451283764997,0.162083061170744
4435,189706,16171,175889,2456,69514,0.0702298124314875,0.0707401719677484,0.074750975905669,0.0958563650454354,0.0969669486439165
20838,2736,27121,20159,292,42824,0.0323577774606808,0.0325122102914924,0.0466938548370713,0.0557000747870249,0.064195899708875
17776,470,300421,124572,130135,2349,0.0981870276263008,0.135913042310471,0.140803020724651,0.14161726698151,0.142477296010078
20285,20159,399,22802,267,292,0.0737095721693058,0.0805946554338731,0.0826659410003364,0.0861203735294115,0.0865311542486724
213,15817,16327,19640,16438,16785,0.132837579748389,0.142997011667739,0.145815221908818,0.149527992468651,0.150671092391134
247562,16643,63388,21976,452,1413,0.0714901460042279,0.102510004010407,0.102821073833698,0.106090194847089,0.107270461967971
2832,89,42824,284990,8743,19915,0.0714777848929768,0.085671806415932,0.0912641549063801,0.0953804131406632,0.0978651255401303
910,20314,18836,18648,18999,100271,0.0524525737302105,0.0528801457913733,0.0576427839944639,0.0593124858898269,0.0599101566240957
14985,245,194,15821,17961,27119,0.0386733458201642,0.0810608107599838,0.092865461037945,0.0957155037048142,0.0979193991183921
412,989,2668,516,14702,47591,0.0607680667853285,0.0710661464637569,0.0845928255593399,0.0933286034971365,0.0936626466503554
274932,16330,2133,5760,23,67280,0.0540086899214772,0.0908584591646899,0.0992367581384302,0.101285152681783,0.103938414983482
