"customer_id","monto_promedio"
15,490639.684821971
17,965724.128520908
18,823154.988001036
20,1173332.60811317
21,818256.2840367
22,1682113.22192358
23,396727.015185565
26,119803.967497561
30,983335.361879343
35,542201.043130282
37,222529.781825599
41,1579757.00630897
49,104893.792684548
51,1074960.18031747
53,1249542.89680709
60,144841.758867599
61,249338.649820565
62,286848.942522418
64,370957.703870407
65,156244.285440178
72,245932.981415165
80,556638.323546754
81,435601.482427341
83,579566.644293598
87,187580.395262629
89,841923.66274027
96,414300.14713311
97,851042.279299466
99,226858.574795367
100,405581.183846468
102,1065519.70893445
104,317040.40574087
106,532783.02871776
107,188501.372516292
108,183164.014626986
110,1104343.20119488
111,503129.870178604
117,1244042.70491258
121,143814.59680263
124,776584.879667282
126,1450993.88283921
128,307383.223796421
129,1264709.0391832
131,577443.848641961
132,999804.017053426
135,454088.738711391
139,1324248.08518661
141,743157.56409574
142,400574.02124558
148,321363.98022269
150,1147136.60071363
152,695230.87785892
163,515328.815988206
166,136791.822722415
168,632787.945827987
174,291415.002142161
175,144411.614786203
176,181534.72480198
182,766607.479458512
183,1820534.22167501
187,676647.256846009
188,1517226.80137932
189,229811.288841151
192,1435036.86065759
194,613767.555911371
195,590225.677897113
196,1728207.04922904
197,492154.39494229
198,406184.384059667
200,681681.87975288
201,1279780.46787607
203,799124.260232913
205,1366116.219709
212,420093.172158062
213,692903.078747577
215,469269.031976663
221,1009324.87446531
223,275137.15063008
224,1046831.93648384
227,182180.490933407
228,1589453.44810546
230,337048.315285048
232,271586.821074974
234,387702.163306255
239,119809.475162636
245,256646.64510033
247,305462.647279707
251,347697.241798271
254,198219.532567025
256,1320386.34242873
257,1453398.94696916
258,1331583.44986517
261,741521.916907069
262,505632.089911474
263,605948.731860132
264,486325.361510976
265,237331.32146217
267,222334.446042605
268,339729.687070765
269,1271475.37529424
270,249542.737518277
272,166368.400472341
279,1117840.35454286
289,535803.665536781
291,249416.194170147
292,895587.494492625
297,195516.38075114
299,844352.9671186
307,297261.577235827
308,263285.472803426
311,867033.100223074
313,266444.779101747
315,151872.318526822
322,1309139.17432038
323,653275.594120085
325,1920390.57851283
326,1088830.81516811
327,82375.2330966129
329,867309.968336986
330,864388.095744446
333,525471.375478548
342,272860.77966297
343,639056.811126549
346,240517.737522029
348,1243255.38625538
354,742330.370909682
355,392074.482687556
361,199844.498303876
362,1446158.55729767
365,556785.376648456
370,336209.800651546
371,381632.191219089
372,766838.03453827
379,175576.038955413
380,208844.268437824
383,564187.887166553
385,845957.531367679
393,672996.232235897
394,1134263.77765733
397,781398.194507841
398,802614.021220299
399,1643703.41827858
402,213388.474026313
405,611704.928773278
407,313413.573585304
409,713324.0590982
412,1545882.52804814
413,166314.655062369
416,1452268.36816385
420,732514.793637863
426,1685844.36005303
431,366381.289955247
434,144128.438284764
439,155146.315068099
440,799752.506696013
442,175603.476307322
444,799675.110265284
446,692550.161964658
447,103245.465271136
448,401757.56849557
452,1170514.97732761
461,1096092.45694002
463,317305.745363783
465,1788891.41225813
470,233858.261723591
471,131923.535057307
476,741602.857950294
478,1059267.96218426
479,751902.931953824
480,624291.233631331
482,920481.168099703
483,497841.273522197
484,178355.00794491
491,222874.641126759
493,1042456.61845904
499,1708464.25183984
501,807003.108840471
502,982841.188933294
503,834089.100487352
505,257821.840575194
512,868439.976776567
515,838278.554929304
516,577693.038840788
518,885303.807430915
520,1994718.18604595
522,670009.678996243
525,773194.46521542
529,201073.426304786
534,287739.210133759
540,263175.026505332
543,572171.315903547
544,560526.095405661
546,1884816.16661481
548,332723.460335304
549,182993.814095528
554,637216.802179901
555,497823.314885903
556,1113876.092811
560,667988.516032043
564,560645.638388599
567,719381.880095233
568,258508.525641912
570,1305451.81121249
571,665368.756327859
572,323360.176424123
583,439179.635167135
591,845357.547491555
593,1214460.85409764
594,943797.063491018
595,897046.149643968
603,107273.573693845
609,892973.872335593
610,688132.618095079
618,439315.773140807
621,118684.10440572
623,1231102.00882968
624,582433.414219635
636,185925.662441568
652,269482.31327408
654,931469.103092049
667,295085.157787153
668,675217.188849638
669,131571.755260079
675,1546055.45308592
678,290896.546337293
680,268278.623912086
681,793241.546948872
683,484042.253781095
685,741866.362095153
686,816462.71785298
687,540170.063938527
690,285766.36499786
694,456144.642280377
697,647223.556568974
698,181573.283103562
701,434276.356512381
703,594859.909002864
704,1031018.84483143
705,528395.580648843
708,789786.770736394
711,1294561.12590279
713,364543.895065602
716,926353.136395936
720,785358.958533216
721,717955.542329246
726,291385.297688694
734,1161835.19219356
735,736003.533314817
737,541819.351803189
741,955920.615885972
742,531218.689901415
745,552581.023344973
754,462867.575604937
757,440492.1284487
760,337661.813172303
766,498671.776252011
769,1386905.39743031
771,988002.681193173
778,1387532.79273155
781,640083.882884241
787,635575.504922819
789,304797.446819628
793,762980.009600112
802,1070841.35484087
803,1072405.59771566
806,333582.478693089
821,423776.453863332
823,430127.297155289
825,1248432.16086514
