"customer_id","monto_promedio"
15,40854.8785714286
17,71373.372
18,57188.51
20,91820.12375
21,58716.3791666667
22,126107.07
23,29347.11
26,7444.01
30,87274.8677272727
35,49757.425
37,13017.32
41,131677.552352941
49,6135.97
51,77620.0818181818
53,88783.441
60,8879.5
61,22277.735
62,16405.78
64,29298.5309090909
65,9578.53
72,17058.5133333333
80,45653.4366666667
81,33875.9390909091
83,42732.636
87,11805.92
89,67044.109375
96,33264.1266666667
97,61239.6842857143
99,17606.83
100,26940.415
102,83380.0485714286
104,22772
106,45629.9428571429
107,17160.9616666667
108,15053.1966666667
110,112948.178
111,36151.0644444444
117,85993.77875
121,8816.53
124,61919.4392307692
126,92787.302
128,28610
129,120488.053333333
131,42625.995
132,79347.7471428571
135,36456.048
139,97644.29875
141,51682.5664285714
142,26464.95
148,29486.2773333333
150,76180.485
152,49395.966
163,37985.5171428571
166,8386
168,43312.445
174,23190.4425
175,9520.24
176,14807.75
182,71833.1181818182
183,124640.124736842
187,43279.82
188,116025.325
189,16228.1571428571
192,96771.2716666667
194,50989.99
195,48434.35
196,139577.201818182
197,29736.908
198,31840.78
200,61355.7
201,104888.872666667
203,87458.108
205,97311.2846153846
212,37494.3363157895
213,49265.1276923077
215,28608.4
221,71688.1666666667
223,17172.01
224,77649.8575
227,12977.1483333333
228,117919.518
230,23116.762
232,20599.815
234,27089.2325
239,7344.9
245,22839.274
247,27202.5
251,25931.2328571429
254,12650.04
256,106275.606923077
257,114296.971428571
258,135154.344615385
261,59026.50875
262,40400.8771428571
263,47986.386
264,37569.425
265,19021.3142857143
267,15834.6666666667
268,27683.62125
269,129838.53875
270,20304.7316666667
272,13676.4875
279,87955.216
289,39815.03625
291,21672.5
292,82281.6890909091
297,16490.7225
299,69960.8928571429
307,21996.6
308,22926.86
311,61317.9683333333
313,20398.1175
315,10078.57
322,100889.34
323,57978.3533333333
326,89163.624
327,5050
329,71881.66875
330,69002.8794117647
333,40202.3217647059
342,19136.375
343,47344.26
346,14744.9
348,96951.1741176471
354,58102.1488888889
355,32676.4
361,14489.9166666667
362,122887.305454545
365,37548.3816666667
370,21638.605
371,24355.13
372,61464.1527272727
379,11204.97
380,15733.3475
383,46587.31125
385,66668.5454545455
393,47426.8185714286
394,87897.8146153846
397,61315.77125
398,60862.462
399,137293.352727273
402,13910.9333333333
405,50626.404
407,22337.3313333333
409,54094.5514285714
412,121428.010769231
413,11877.88
416,114060.245384615
420,48815.2025
426,149013.319
431,29689.4492307692
434,8835.77
437,156187.066111111
439,9993.32
440,62872.323
442,13889.228
444,61699.1566666667
446,56816.57625
447,10086.35
448,31487.6371428571
452,83145.9054545455
461,88966.4114285714
463,27269.1722222222
465,136065.279333333
470,17132.3455555556
471,8419.14
476,70740.8086363636
478,81033.6733333333
479,56378.5854545455
480,52410.3352941176
482,75901.0325
483,37078.4788888889
484,14859.77
491,19440.71
493,74725.4046666667
499,112083.26
501,64442.25
502,70463.4108333333
503,71468.4315384615
505,23223.6866666667
512,69765.635625
515,63302.1838461539
516,41624.649
518,67257.2892857143
520,161593.805714286
522,52267.6875
525,56410.5916666667
529,14288.5533333333
534,18151.08
540,17713.96
543,42887.9833333333
544,48131.95
548,28088.59
549,13172.9
