"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado","producto_1","producto_2","producto_3","producto_4","producto_5","categoria_1","categoria_2","categoria_3","categoria_4","categoria_5"
"bytearray(b'Y\x1d=\xc1\xb2\xc1Cn\xa6\x03\xc8\xc9\xa2\x02\xb5\xc6')",-34.6059075,-58.3976111,"POINT (-58.3976111 -34.6059075)",0,0,0,9,2183,0.0409638554216867,2.08192771084337,426923228.489721,0.550925925925926,0.449074074074074,0,0,16,2,0,0,0,0,2,3,2.199172605092,9,101,3,204,0,2,1,0,0,2076.33065691577,0,2,3,1,36,8,1,7,0,2,0,27,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7792798001293","7798062548655","7795930000543","7501064199847","7798119220015",194,3,6,9,5
"bytearray(b'Y\x86N\xf4g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6280393,-58.4691531,"POINT (-58.4691531 -34.6280393)",0,3,0,2,3111,0.0483870967741935,2.68145161290323,155711425.488548,0.547368421052632,0.452631578947368,0,0,3,0,0,0,0,0,0,1,130.177926674202,4,49,0,94,0,4,1,0,1,524.81440555575,0,4,7,1,17,4,0,3,0,0,1,14,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7793147570606","7790290001193","0","0","0",194,197,0,0,0
"bytearray(b'Y\x8eX\x8dg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.580764,-58.4845785,"POINT (-58.4845785 -34.58076399999999)",0,3,0,2,760,0.00617283950617283,2.46913580246914,171500643.91926,0.53125,0.46875,0,0,0,0,0,0,0,0,0,4,31.4856408636579,1,33,4,68,0,12,0,0,0,1747.89792557698,0,3,12,1,23,2,0,4,0,0,1,19,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7792798779277","7790895000782","7790895067556","7790895000997","7791843008294",5,194,48,197,195
"bytearray(b'Y\x92\xb8rM/LF\x94\x97\xa1kRD\xeb;')",-34.5984375,-58.464673,"POINT (-58.46467299999999 -34.5984375)",0,3,0,0,1742,0.0922619047619048,2.89880952380952,108906714.722974,0.514373716632444,0.485626283367556,0,0,0,0,0,0,0,0,0,6,109.238570892452,0,34,2,40,0,7,0,0,0,1070.01555869399,0,3,15,0,10,7,0,1,0,1,0,8,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7792540260138","7792798003761","0","0","0",32,194,0,0,0
"bytearray(b'Y\xbf\xe1\xdeg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5877284,-58.4164817,"POINT (-58.41648169999999 -34.5877284)",0,0,0,2,1386,0.0052219321148825,2.21671018276762,531135011.179752,0.555948174322733,0.444051825677267,0,0,0,1,0,0,0,0,1,1,103.243544765947,1,58,1,130,0,8,1,0,0,1002.54768029962,0,3,14,0,32,8,0,8,0,3,0,21,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"7792798001712","7792798002337","7792798002788","7792798009671","7790639001068",194,5,195,71,0
"bytearray(b'Y\xbf\xe4\xc7g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6327016,-58.4667288,"POINT (-58.4667288 -34.6327016)",0,4,0,2,3115,0.050561797752809,2.46910112359551,223042819.525734,0.558589306029579,0.441410693970421,0,0,3,0,0,0,0,0,0,1,81.450807576155,0,44,2,83,0,13,0,0,0,1194.70239175016,0,3,7,0,18,10,0,4,0,0,0,14,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7791813050117","7792798001927","7792798001965","7792798002528","7792798003563",5,194,60,197,8
"bytearray(b'y\xbf\xe7bg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.540664,-58.473948,"POINT (-58.473948 -34.540664)",1,3,0,0,930,0.01,2.2,201223049.075455,0.568181818181818,0.431818181818182,0,0,0,0,0,0,0,0,0,0,74.6249840563996,0,14,12,69,2,15,0,0,0,3311.75865104026,0,2,13,4,10,5,0,1,0,0,4,9,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"7793147009175","366277935829245","7792798001293","7792798005888","7793147001827",194,5,0,0,0
"bytearray(b'Y\xbf\xef\xc3g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5594279,-58.4439342,"POINT (-58.44393419999999 -34.5594279)",1,3,0,0,974,0.00359712230215827,2.19244604316547,289567532.514014,0.517637407711239,0.482362592288761,0,0,2,0,1,1,0,0,1,3,73.4480104307216,0,25,0,58,0,13,0,0,1,816.447275796645,0,2,13,0,16,3,0,4,0,0,0,12,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7792798005888","7792798001927","7793147009175","7792798012923","7793147001827",194,5,195,6,197
"bytearray(b'Y\xc7\xe3\xc7g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.565422,-58.450457,"POINT (-58.450457 -34.565422)",1,3,0,3,1085,0.00452488687782805,2.35294117647059,500035826.082341,0.561538461538462,0.438461538461538,0,0,1,0,0,0,0,0,0,1,139.189578461938,1,43,0,90,1,17,0,0,0,1881.02626134301,1,4,13,1,33,3,1,5,0,1,0,27,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7792798779277","7790290001193","7501064199847","7792798005888","7792798012947",194,197,195,196,0
"bytearray(b'Y\xcf\xf0+g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5821273,-58.404641,"POINT (-58.404641 -34.5821273)",0,4,0,0,1449,0,2.04291845493562,561780243.808672,0.577731092436975,0.422268907563025,0,0,0,1,0,0,0,0,0,0,155.220494509709,0,43,6,78,0,23,1,0,3,283.999034857986,0,4,14,1,25,7,0,6,0,2,1,17,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"7792798001927","7792798001965","0","0","0",194,0,0,0,0
"bytearray(b'Y\xd7\xf5\xd8g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5572605,-58.4484934,"POINT (-58.4484934 -34.5572605)",0,2,0,0,977,0.0093167701863354,2.2888198757764,226755894.847543,0.552238805970149,0.447761194029851,0,0,1,0,0,1,1,0,0,3,31.8600856139941,0,37,5,63,0,10,0,0,1,951.200641759295,0,1,13,1,16,66,0,4,0,1,1,11,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"7792798005888","7793147009199","7792798003587","7793147570231","7792798003761",194,5,55,9,3187
"bytearray(b'Y\xdf\xff\x06g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6256736,-58.4671903,"POINT (-58.46719030000001 -34.6256736)",1,4,0,2,3108,0.191729323308271,2.40225563909774,383285961.208248,0.528951486697966,0.471048513302034,0,0,1,0,0,0,0,0,0,2,8.07674177870637,3,50,3,101,1,5,0,0,1,327.9802668857,1,3,7,0,19,9,0,3,0,0,0,16,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"7790070411723","7790272001050","7791120021558","0","0",46,71,0,0,0
"bytearray(b'y\xe0\xea)g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.576735,-58.4903106,"POINT (-58.49031060000001 -34.576735)",0,2,0,1,767,0.00238095238095238,2.37380952380952,224229778.406412,0.560682046138415,0.439317953861585,0,0,1,0,0,0,0,0,0,2,0.53736113762245,1,39,2,70,1,21,0,0,0,2578.86409968012,0,3,12,1,23,5,0,3,0,1,1,19,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"75068677","7790070779014","7790119002370","7790290001179","7791250001482",173,174,197,39,193
