"id","geometry","longitude","latitude","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'\xb3\xf2>\x17g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.42763299999999 -34.59029699999999)",-58.427633,-34.590297,0,29,2,0,2,0,0,0,27,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb3\xf8\xd1\xc0\xeb\xf2N\x14\x8c\xe4\xae\x14\x14GJ\x19')","POINT (-58.387235 -34.6271244)",-58.387235,-34.6271244,1,20,1,0,1,0,1,1,18,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb3Z(\xa5g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3911316 -34.5926092)",-58.3911316,-34.5926092,3,45,7,1,8,1,3,1,34,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb4\x18\xf5[g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.48067399999999 -34.611039)",-58.480674,-34.611039,2,15,3,0,1,0,0,2,14,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb4\x1d\xabR\xf2)E*\xbd\\\xa5+F\xaf\x93\x90')","POINT (-58.5281156 -34.6211542)",-58.5281156,-34.6211542,1,10,4,0,2,0,0,1,8,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb4\x1e\x175\xc8mO\xef\xb5w\xbe\xf3(\xda+\x0f')","POINT (-58.40991539999999 -34.6202922)",-58.4099154,-34.6202922,1,27,6,0,0,0,2,1,25,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb4\xb2\x03{\xe6\xf2CQ\xb8\xd3\x7f\x97\xf9\xa5\xda\xd4')","POINT (-58.4963894 -34.6229465)",-58.4963894,-34.6229465,2,9,8,0,0,0,1,2,8,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb4h\x91Fg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.42175109999999 -34.6443571)",-58.4217511,-34.6443571,0,15,0,0,1,0,0,0,14,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb4h\x92\x98g\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4182658 -34.6446568)",-58.4182658,-34.6446568,0,17,4,0,1,0,0,0,16,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb5\x1c\xb7\xaeg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.43099400000001 -34.5935459)",-58.430994,-34.5935459,1,26,9,0,2,0,1,1,23,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb5\xcf\x1c0g\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.3839235 -34.6176107)",-58.3839235,-34.6176107,1,33,10,0,2,0,0,1,31,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb5\xe1\x8a\x95$\xfbAz\x80\x896%\xbf\xf4\x90K')","POINT (-58.43717660000001 -34.5644936)",-58.4371766,-34.5644936,1,12,5,1,3,0,2,0,7,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb5CtIg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.49051840000001 -34.5736471)",-58.4905184,-34.5736471,2,22,7,0,3,0,1,2,18,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb5F\xaa\x7fg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.46040009999999 -34.5600226)",-58.4604001,-34.5600226,3,43,18,1,8,0,2,2,33,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb5F\xae\xccg\xf2\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.376724 -34.609244)",-58.376724,-34.609244,1,36,5,0,4,0,0,1,32,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xb5l\xf3\x88g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4309767 -34.593462)",-58.4309767,-34.593462,1,26,9,0,2,0,1,1,23,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb5n`k\xd3\xd6C%\xb1\x19\xd4^\xa3\x1cz\xac')","POINT (-58.5017665 -34.5774812)",-58.5017665,-34.5774812,1,17,5,0,2,0,2,1,13,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb5X\r\xba\xf2oM\xaa\x9dq\xb8\x13\xf5|9+')","POINT (-58.50663360000001 -34.6169103)",-58.5066336,-34.6169103,0,14,2,0,1,0,1,0,12,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb6\x14\xc5\xc3S\xecN \xae\xde\xd6~\x17V\x11\xcc')","POINT (-58.4846471 -34.6613385)",-58.4846471,-34.6613385,2,7,4,1,1,0,1,1,5,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb6\xe6\xeb3g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.42899420000001 -34.615341)",-58.4289942,-34.615341,1,36,15,0,7,0,2,1,27,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb63FS\x80\xc9H\x98\xaaKU\x8b\x86\xb3\xf9h')","POINT (-58.41909279999999 -34.6496745)",-58.4190928,-34.6496745,0,13,1,0,1,0,1,0,11,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb6o\xe6p1""Gt\x8f}\\\'A\x9b\x82@')","POINT (-58.431811 -34.5800769)",-58.431811,-34.5800769,1,28,9,0,2,0,2,1,24,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb7\x12\x93\x1dg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4380237 -34.6430188)",-58.4380237,-34.6430188,1,9,2,0,1,0,0,1,8,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb7\xcc\x9b\x95RTLA\x80\xd2r\x82\xfcW\x88I')","POINT (-58.4693497 -34.609354)",-58.4693497,-34.609354,2,20,2,0,1,1,2,1,17,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb7>\xd1\xb8g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.443227 -34.602666)",-58.443227,-34.602666,2,34,6,1,2,0,1,1,31,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xb7dO\xc1g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.4182652 -34.5853179)",-58.4182652,-34.5853179,3,32,16,0,8,1,2,2,22,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb7m\xa4[g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.5141479 -34.626271)",-58.5141479,-34.626271,0,11,5,0,2,0,0,0,9,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb8\x93\x9ctr@Br\x9f\xdf\x13x\xfb\x90=#')","POINT (-58.4640227 -34.622584)",-58.4640227,-34.622584,0,19,5,0,2,0,0,0,17,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb8\x95z\x90g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.438332 -34.579243)",-58.438332,-34.579243,1,24,6,0,2,0,1,1,21,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'\xb8\x9e\xcb4g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')","POINT (-58.39324399999998 -34.615885)",-58.393244,-34.615885,0,29,7,0,1,0,3,0,25,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'\xb8\xb6\x84\xa4@\xdb@E\x80\xed\xff\xcf\xc8\x7fn""')","POINT (-58.4999739 -34.6115084)",-58.4999739,-34.6115084,0,12,2,0,0,0,0,0,12,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'\xb8\xc5gUw\xafE\xe0\x98c\x9dj@\xf6i\xf7')","POINT (-58.51899510000001 -34.65250609999999)",-58.5189951,-34.6525061,1,12,2,0,1,0,0,1,11,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'\xb8\xda\x95\xff%TJ5\x8b\xad\xa3\xab\xc2G\xa9\xa8')","POINT (-58.38301219999999 -34.605228)",-58.3830122,-34.605228,2,44,6,1,5,0,1,1,38,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'\xb8\xe6cUC\xfaK&\xac?\x19\x1d\x17$\xc0\x05')","POINT (-58.4502878 -34.6175767)",-58.4502878,-34.6175767,0,18,2,0,4,0,1,0,13,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
