id,lat,lon,geometry,estaciones_servicio_200mts,estaciones_servicio_1000mts,subtes_200mts,subtes_1000mts,id_rc,porc_nbi,hacinamiento,densidad_pob,porc_mujeres,porc_varones,uni_privada_200mts,uni_publica_200mts,uni_privada_1000mts,uni_publica_1000mts,estadios_200mts,estadios_1000mts,river_1500mts,boca_1500mts,clubes_200mts,clubes_1000mts
"bytearray(b'\x12b\nAg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.60535639999999,-58.42480399999999,POINT (-58.42480399999999 -34.60535639999999),0.0,3.0,0.0,3.0,2651,0.045307443365695796,2.0954692556634305,532385920.9571457,0.5706563706563706,0.42934362934362935,0.0,0.0,2.0,3.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x12b\x0e\xb5g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5917147,-58.3896743,POINT (-58.3896743 -34.5917147),0.0,2.0,0.0,0.0,1917,0.003048780487804878,2.472560975609756,501651188.8862664,0.5819975339087546,0.41800246609124536,0.0,0.0,7.0,0.0,0.0,0.0,0,0,0.0,0.0
"bytearray(b'\x12f""\xe2g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.60924490000001,-58.3821712,POINT (-58.3821712 -34.60924490000001),0.0,0.0,2.0,13.0,42,0.32275132275132273,2.8465608465608465,151475733.22580317,0.49070631970260226,0.5092936802973977,0.0,0.0,8.0,2.0,0.0,0.0,0,0,0.0,5.0
"bytearray(b'\x12f,Zg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6256035,-58.37523269999999,POINT (-58.37523269999999 -34.6256035),0.0,0.0,0.0,2.0,157,0.009389671361502348,2.107981220657277,146540353.8327413,0.534521158129176,0.46547884187082406,0.0,0.0,2.0,1.0,0.0,0.0,0,1,0.0,5.0
"bytearray(b'\x12f-\xabg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6166557,-58.4069764,POINT (-58.4069764 -34.6166557),0.0,7.0,0.0,2.0,2036,0.463855421686747,2.7259036144578315,391662965.0353181,0.5138121546961326,0.4861878453038674,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x12j\'Vg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.63351910000001,-58.48111629999999,POINT (-58.48111629999999 -34.63351910000001),0.0,4.0,0.0,0.0,381,0.17358490566037735,2.1245283018867926,248343528.8472481,0.5612788632326821,0.43872113676731794,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x12\xda\x8d\xf7g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.59636589999999,-58.37716090000001,POINT (-58.37716090000001 -34.59636589999999),0.0,1.0,1.0,6.0,218,0.008032128514056224,2.3775100401606424,307024811.43834656,0.5540540540540541,0.44594594594594594,0.0,0.0,6.0,2.0,0.0,0.0,0,0,0.0,1.0
"bytearray(b'\x12\xda\x8fqg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6158286,-58.4421499,POINT (-58.4421499 -34.6158286),1.0,4.0,0.0,2.0,2825,0.029498525073746312,2.3716814159292037,261992898.66466025,0.513681592039801,0.486318407960199,0.0,0.0,3.0,1.0,0.0,2.0,0,0,0.0,2.0
"bytearray(b'\x12\xda\x98Xg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6770066,-58.479923,POINT (-58.479923 -34.6770066),1.0,4.0,0.0,0.0,3218,0.012605042016806723,3.0588235294117645,40295304.025397,0.554945054945055,0.44505494505494503,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0
"bytearray(b'\x12\xda\x99""g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.653953,-58.3947055,POINT (-58.3947055 -34.653953),0.0,0.0,0.0,0.0,2247,0.090625,3.0125,150447704.93931922,0.5155601659751037,0.48443983402489627,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,3.0
bytearray(b'\x12\xe9J\x10fnJ\xb4\xbab\xc0\xf7\xbf\xd3\x98o'),-34.546319,-58.463191,POINT (-58.463191 -34.546319),0.0,5.0,0.0,0.0,1054,0.02564102564102564,2.3547008547008548,245496108.13759315,0.5517241379310345,0.4482758620689655,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,9.0
"bytearray(b'\x12\xeb\xd8Lg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6648117,-58.4700623,POINT (-58.4700623 -34.6648117),1.0,1.0,0.0,0.0,3252,0.20625,3.134375,119569494.71474105,0.5104685942173479,0.48953140578265203,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x12\xeb\xde\xa0g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.557694,-58.44729090000001,POINT (-58.44729090000001 -34.557694),0.0,2.0,0.0,0.0,977,0.009316770186335404,2.2888198757763973,226755894.84754252,0.5522388059701493,0.44776119402985076,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,3.0
bytearray(b'\x12\xf6\xd86\x14\xcdC\r\xa1\x99\x0c\xce\x99z\xce\x94'),-34.6237554,-58.4191151,POINT (-58.4191151 -34.6237554),0.0,2.0,0.0,2.0,2556,0.0070921985815602835,2.4539007092198584,271132104.59584236,0.5534682080924855,0.44653179190751446,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10.0
"bytearray(b'\x12\xff\xee=g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6010309,-58.51287669999999,POINT (-58.51287669999999 -34.6010309),0.0,1.0,0.0,0.0,644,0.006493506493506494,2.522727272727273,74336568.15164563,0.5366795366795367,0.46332046332046334,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,6.0
"bytearray(b'\x13\x14\x05\xf2g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.587505,-58.428162,POINT (-58.428162 -34.587505),0.0,4.0,0.0,0.0,1277,0.01079136690647482,2.1007194244604315,113320381.87346362,0.5188356164383562,0.4811643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0
"bytearray(b'\x13\x14\x16Wg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.56606899999999,-58.45453509999999,POINT (-58.45453509999999 -34.56606899999999),0.0,3.0,0.0,2.0,1070,0.004672897196261682,1.9042056074766356,336507358.61095065,0.5987730061349693,0.4012269938650307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"bytearray(b'\x13 \x15\xa9g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.607586,-58.44599,POINT (-58.44599 -34.607586),1.0,6.0,0.0,0.0,2815,0.007633587786259542,2.198473282442748,279498310.95918053,0.5289351851851852,0.4710648148148148,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13&\xbfkg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.59829599999999,-58.43677899999999,POINT (-58.43677899999999 -34.59829599999999),0.0,2.0,0.0,2.0,1663,0.014450867052023121,2.286127167630058,297411917.0359546,0.5752212389380531,0.4247787610619469,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13&\xc3\xd9g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.604408,-58.37262200000001,POINT (-58.37262200000001 -34.604408),0.0,0.0,0.0,12.0,4,0.051470588235294115,3.8823529411764706,14664479.587446386,0.4431818181818182,0.5568181818181818,0.0,1.0,10.0,5.0,0.0,1.0,0,0,1.0,3.0
"bytearray(b'\x13,2\xedg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.603696,-58.403651,POINT (-58.403651 -34.603696),0.0,3.0,0.0,10.0,2151,0.0,2.8491803278688526,400178098.9511799,0.6029919447640967,0.3970080552359033,0.0,0.0,7.0,5.0,0.0,0.0,0,0,0.0,3.0
"bytearray(b'\x136\xd1\x0bg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6244355,-58.3740195,POINT (-58.3740195 -34.6244355),0.0,2.0,0.0,2.0,146,0.21937321937321938,2.1424501424501425,222905421.3635652,0.5146276595744681,0.4853723404255319,0.0,0.0,2.0,1.0,0.0,0.0,0,1,3.0,5.0
"bytearray(b'\x13:\xd8cg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6073587,-58.46248680000001,POINT (-58.46248680000001 -34.6073587),2.0,5.0,0.0,0.0,2674,0.05785123966942149,2.7975206611570247,153960260.0352766,0.5243722304283605,0.4756277695716396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13>\xd5Qg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5988457,-58.4582815,POINT (-58.4582815 -34.5988457),0.0,5.0,0.0,0.0,1746,0.11212121212121212,2.8545454545454545,123988593.78123808,0.5403397027600849,0.4596602972399151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x13>\xd9[g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6171645,-58.49125549999999,POINT (-58.49125549999999 -34.6171645),0.0,1.0,0.0,0.0,536,0.040123456790123455,2.8209876543209877,146515010.59211996,0.5043763676148797,0.49562363238512036,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,7.0
bytearray(b'\x13h\x95\xc92\xa8GT\x95CR\xe3\x01\x02\xae\x1c'),-34.6276984,-58.519949,POINT (-58.519949 -34.6276984),0.0,2.0,0.0,0.0,411,0.0,2.93,81896047.17675737,0.552901023890785,0.447098976109215,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.0
"bytearray(b'\x13\x84\x0e^\xa8\xf3N*\xbb\xc0""m\x80_\x1e/')",-34.6021807,-58.50118560000001,POINT (-58.50118560000001 -34.6021807),0.0,3.0,0.0,0.0,691,0.006349206349206349,2.7714285714285714,95679812.32528709,0.5406643757159221,0.45933562428407787,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0
"bytearray(b'\x13\x89*\x1eg\xf3\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.622396,-58.50966389999999,POINT (-58.50966389999999 -34.622396),0.0,1.0,0.0,0.0,430,0.025210084033613446,2.6946778711484596,133191359.00379507,0.5155925155925156,0.48440748440748443,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0
"bytearray(b'\x13\x98\x88\x98g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6366388,-58.4716795,POINT (-58.4716795 -34.6366388),0.0,6.0,0.0,1.0,384,0.013986013986013986,2.6503496503496504,172163414.36885348,0.5452946350043976,0.4547053649956025,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0
"bytearray(b'\x13\x98\x89Ng\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6166974,-58.40181570000001,POINT (-58.40181570000001 -34.6166974),0.0,6.0,0.0,4.0,2043,0.10096153846153846,2.793269230769231,136295818.63638178,0.5387263339070568,0.4612736660929432,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0
"bytearray(b'\x13\x9d\xea\x9cg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5954938,-58.42163269999999,POINT (-58.42163269999999 -34.5954938),0.0,4.0,0.0,0.0,1357,0.02976190476190476,2.0,176015197.76899937,0.5669642857142857,0.4330357142857143,0.0,0.0,4.0,2.0,0.0,0.0,0,0,0.0,3.0
