"id","lat","lon","geometry","estaciones_servicio_200mts","estaciones_servicio_1000mts","subtes_200mts","subtes_1000mts","id_rc","porc_nbi","hacinamiento","densidad_pob","porc_mujeres","porc_varones","uni_privada_200mts","uni_publica_200mts","uni_privada_1000mts","uni_publica_1000mts","estadios_200mts","estadios_1000mts","river_1500mts","boca_1500mts","clubes_200mts","clubes_1000mts","tienda_mas_cercana","escuelas_cercanas_200m","escuelas_cercanas_1000m","paradas_cercanas_200m","paradas_cercanas_1000m","everdes_cercanos_200m","everdes_cercanos_1000m","hay_bicicleteros_200m","hospitales_cercanos_200m","hospitales_cercanos_1000m","distancia_al_hospital_mas_cercano","parroquias_cercanas_200m","parroquias_cercanas_1000m","comuna","negocios_cercanos_200m","negocios_cercanos_1000m","tiendas_cercanas_200m","supermercados_200m","supermercados_1000m","hipermercado_200m","hipermercado_1000m","autoservicio_200m","autoservicio_1000m","negocios_24hs_cercanos_1000m","negocios_findesemana_200m","mon_open","tue_open","wed_open","thu_open","fri_open","sat_open","sun_open","supermercado_chino","supermercado"
"bytearray(b'9\xa87;g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.5918535,-58.4421469,"POINT (-58.4421469 -34.5918535)",0,3,0,2,1565,0.0600600600600601,2.78378378378378,189769114.988596,0.558791801510248,0.441208198489752,0,0,0,0,0,1,0,0,0,6,139.316693913159,0,46,3,92,0,5,0,0,0,2281.49766267301,0,2,15,0,27,4,0,1,0,0,0,26,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"bytearray(b'9\xae\x13hg\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.614165,-58.484848,"POINT (-58.484848 -34.614165)",0,3,0,0,544,0.0532915360501567,2.81191222570533,124201298.375036,0.528428093645485,0.471571906354515,0,0,0,0,0,0,0,0,1,4,259.815236379836,0,26,1,62,0,2,0,0,0,1993.4960536432,0,1,11,0,12,0,0,0,0,0,0,12,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'9\xc8\xdbug\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6190884,-58.4422844,"POINT (-58.44228439999999 -34.6190884)",0,3,0,3,2686,0.0066006600660066,1.99339933993399,175816333.716571,0.576158940397351,0.423841059602649,0,0,1,1,0,2,0,0,0,1,35.9563125950912,6,44,3,103,1,9,0,0,0,1401.61786454767,0,3,6,2,25,8,0,9,0,1,2,15,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'9\xd0c\xb2g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.599582,-58.3869349,"POINT (-58.3869349 -34.59958199999999)",0,1,0,6,249,0.025,2.65,179111654.531287,0.584905660377358,0.415094339622642,1,0,18,0,0,0,0,0,0,3,0.00000000279396772384644,3,89,10,184,0,30,1,0,0,2509.75003155162,0,3,1,4,52,16,0,8,0,2,4,42,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'9\xd4\xe7\xbag\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6031061,-58.4671829,"POINT (-58.4671829 -34.60310610000001)",0,7,0,0,606,0.0614657210401891,2.35697399527187,276708311.094765,0.566700100300903,0.433299899699097,0,0,0,0,0,1,0,0,0,4,94.0993716622632,0,34,5,56,0,5,0,0,1,840.173128302771,0,1,11,1,13,4,0,1,0,1,1,11,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'9\xdaE\xe4g\xfe\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6004441,-58.4683883,"POINT (-58.46838830000001 -34.6004441)",0,3,0,0,1739,0.111111111111111,2.91737891737892,183083049.54471,0.53125,0.46875,0,0,0,0,0,1,0,0,0,4,229.915017528742,3,29,1,53,0,6,0,0,1,881.058386683505,0,2,15,1,11,1,0,1,0,1,1,9,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"bytearray(b'9\xff^m\xb2 I\n\xac\x1f\xdb\xe4I\xbd\x08\xdb')",-34.619242,-58.4061174,"POINT (-58.4061174 -34.619242)",0,7,0,4,2041,0.298932384341637,2.51601423487544,331749546.53132,0.538896746817539,0.461103253182461,0,0,0,2,0,0,0,0,0,2,16.492784051895,3,71,4,128,0,3,0,0,1,443.879033247666,0,3,3,1,25,4,0,0,0,3,1,22,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"bytearray(b'9J\xeb\xb5t\xa8M\xdd\xbc\x98 V\r\x1c\\\xb9')",-34.6357822,-58.3999045,"POINT (-58.3999045 -34.6357822)",0,2,1,3,2435,0.0222929936305732,2.5,214131458.22356,0.547770700636943,0.452229299363057,0,0,0,0,0,0,0,0,0,4,7.22010017251294,1,42,15,84,0,8,0,0,3,340.695301903139,0,1,4,0,18,2,0,1,0,0,0,16,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"bytearray(b'a\x00[\x00g\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6234735,-58.4116503,"POINT (-58.4116503 -34.6234735)",0,2,0,3,2134,0.222727272727273,2.64090909090909,325957238.340508,0.507745266781411,0.492254733218589,0,0,0,1,0,0,0,0,0,5,0.00000000279396772384644,6,59,3,111,0,3,0,0,1,818.541087410133,0,2,3,2,27,7,0,0,0,2,2,25,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"bytearray(b'a\x08clg\xf1\x11\xec\x96\xe9\x06\xdb\xa1Y""z')",-34.6152821,-58.3972403,"POINT (-58.3972403 -34.6152821)",0,4,0,4,2056,0.1,2.14516129032258,221284984.367171,0.568421052631579,0.431578947368421,0,0,6,0,0,0,0,0,0,1,70.9982325448798,4,80,6,165,0,2,0,0,0,1065.47881697771,1,2,3,2,29,10,0,2,1,3,1,24,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
